date,Aragonite saturation,Dissolved inorganic carbon,Hydrogen ion conc,Partial pressure CO2,Salinity,Salt water temperature,Total alkalinity,pH
1998-01-01,2.24,2084.5,8.0395e-09,348.8,34.268,10.5,2288.7,8.0948
1998-02-01,2.406,2058.3,8.117e-09,351.8,34.294,12.9,2277.7,8.0906
1998-03-01,2.393,2061.2,7.8964e-09,340.8,34.255,12.0,2280.0,8.1026
1998-04-01,2.2005,2081.8999999999996,8.1615e-09,353.45000000000005,34.289500000000004,10.3,2286.0,8.08845
1998-10-01,2.008,2102.6,8.4266e-09,366.1,34.324,8.6,2284.1,8.0743
1998-11-01,2.11,2086.1,8.5173e-09,370.8,34.263,10.3,2276.9,8.0697
1999-02-01,2.437,2062.4,8.3814e-09,366.5,34.281,13.9,2283.3,8.0767
1999-04-01,2.289,2077.7,8.1787e-09,355.8,34.27,11.5,2285.9,8.0873
1999-05-01,2.237,2074.2,8.0441e-09,347.4,34.273,10.6,2278.4,8.0945
1999-06-01,2.223,2084.1,8.0961e-09,351.3,34.277,10.4,2286.6,8.0917
1999-07-01,2.098,2099.3,8.1614e-09,354.2,34.274,9.0,2289.7,8.0882
1999-08-01,1.988,2114.2,8.5709e-09,374.9,34.3,8.6,2292.9,8.067
1999-11-01,2.205,2079.1,8.3598e-09,363.7,34.265,11.1,2279.2,8.0778
2000-02-01,2.448,2065.9,7.9561e-09,345.3,34.311,12.7,2289.3,8.0993
2000-04-01,2.317,2074.0,8.058e-09,349.6,34.294,11.5,2285.3,8.0938
2000-06-01,2.141,2100.4,8.4388e-09,369.6,34.3,10.3,2293.9,8.0737
2000-08-01,2.044,2102.1,8.3276e-09,361.9,34.303,8.7,2287.1,8.0795
2000-09-01,2.046,2088.8,8.3455e-09,360.9,34.3,9.0,2274.3,8.0785
2000-10-01,2.021,2096.6,8.2161e-09,354.9,34.264,8.2,2279.8,8.0853
2000-12-01,2.171,2086.4,8.3658e-09,364.3,34.295,10.6,2283.2,8.0775
2001-01-01,2.397,2063.5,7.9457e-09,343.8,34.222,12.2,2282.4,8.0999
2001-04-01,2.36,2075.0,7.8158e-09,338.1,34.287,11.2,2290.9,8.107
2001-05-01,2.091,2095.3,8.1561e-09,353.3,34.262,8.9,2285.2,8.0885
2001-08-01,1.989,2106.5,8.3775e-09,363.7,34.336,8.1,2286.2,8.0769
2001-09-01,2.118,2104.0,8.3406e-09,363.9,34.563,9.5,2296.3,8.0788
2001-12-01,2.271,2079.2,8.2349e-09,358.2,34.421,11.4,2286.0,8.0843
2002-01-01,2.543,2051.6,7.9714e-09,345.1,34.438,13.9,2284.0,8.0985
2002-04-01,2.31,2072.7,8.033e-09,347.8,34.388,11.3,2283.8,8.0951
2002-06-01,2.095,2095.8,8.196e-09,355.4,34.289,9.1,2286.0,8.0864
2002-08-01,1.992,2108.3,8.4133e-09,365.7,34.407,8.2,2288.2,8.075
2002-09-01,2.006,2103.9,8.4087e-09,365.3,34.321,8.5,2285.1,8.0753
2002-12-01,2.398,2063.1,7.8287e-09,337.2,34.501,11.8,2283.3,8.1063
2003-02-01,2.381,2067.8,8.0573e-09,349.7,34.3,12.3,2284.9,8.0938
2003-04-01,2.319,2064.5,7.9476e-09,342.6,34.286,11.3,2276.7,8.0998
2003-06-01,2.128,2100.1,8.1233e-09,353.1,34.248,9.2,2293.3,8.0903
2003-08-01,1.979,2115.5,8.2909e-09,360.5,34.238,7.7,2294.0,8.0814
2003-10-01,2.058,2109.4,8.3479e-09,364.1,34.408,8.8,2295.7,8.0784
2004-01-01,2.611,2042.6,7.4945e-09,320.6,34.46,13.2,2283.1,8.1253
2004-03-01,2.388,2060.2,7.8414e-09,337.8,34.26,11.8,2278.8,8.1056
2004-05-01,2.144,2085.8,8.2163e-09,355.9,34.355,9.8,2280.9,8.0853
2004-07-01,2.011,2098.4,8.2828e-09,358.1,34.359,8.2,2280.7,8.0818
2004-09-01,2.037,2102.3,8.5102e-09,370.5,34.566,9.0,2286.8,8.0701
2004-11-01,2.187,2088.6,8.171e-09,354.5,34.493,10.1,2288.0,8.0877
2005-01-01,2.292,2088.1,8.1281e-09,355.2,34.143,11.3,2296.1,8.09
2005-03-01,2.357,2073.5,8.1705e-09,355.9,34.319,12.3,2288.0,8.0877
2005-05-01,2.139,2093.4,8.145e-09,353.3,34.33,9.5,2287.9,8.0891
2005-07-01,1.99,2105.2,8.4582e-09,367.7,34.333,8.4,2284.8,8.0727
2005-09-01,2.06,2110.8,8.2232e-09,358.0,34.381,8.5,2297.4,8.085
2006-01-01,2.219,2090.6,8.352e-09,365.3,34.3,11.1,2291.7,8.0782
2006-03-01,2.295,2081.3,8.2022e-09,357.6,34.305,11.6,2289.9,8.0861
2006-07-01,2.141,2090.1000000000004,8.253999999999999e-09,358.3,34.275999999999996,9.8,2284.25,8.08335
2006-08-01,1.987,2098.9,8.3058e-09,359.0,34.247,8.0,2278.6,8.0806
2006-10-01,1.996,2097.0,8.498e-09,368.7,34.307,8.7,2277.2,8.0707
2006-12-01,2.379,2071.8,7.4574e-09,319.9,34.232,10.4,2290.6,8.1274
2007-04-01,2.306,2079.0,8.1414e-09,354.4,34.285,11.6,2288.9,8.0893
2007-05-01,2.113,2096.2,8.4064e-09,366.5,34.343,9.9,2287.6,8.0754
2007-07-01,1.938,2113.7,8.6384e-09,377.5,34.109,8.2,2287.2,8.0636
2007-09-01,1.974,2112.7,9.0711e-09,400.2,34.316,9.8,2288.8,8.0423
2007-11-01,2.064,2088.8,8.7693e-09,383.1,34.297,10.4,2274.7,8.057
2008-01-01,2.445,2089.0,8.0553e-09,353.8,34.309,12.7,2311.1,8.0939
2008-04-01,2.343,2074.6,7.9697e-09,345.9,34.181,11.6,2288.2,8.0986
2008-05-01,2.126,2088.9,8.6329e-09,377.7,34.2,10.8,2280.6,8.0638
2008-09-01,2.001,2100.0,8.3548e-09,362.1,34.211,8.3,2280.8,8.0781
2008-11-01,2.071,2091.7,8.6045e-09,375.4,34.23,10.0,2278.6,8.0653
2009-01-01,2.398,2060.8,8.3611e-09,364.7,34.219,13.5,2278.3,8.0777
2009-03-01,2.189,2089.5,8.3781e-09,366.2,34.15,10.9,2287.4,8.0769
2009-06-01,1.957,2109.2,8.5703e-09,373.6,34.172,8.3,2285.0,8.067
2009-07-01,1.956,2105.6,8.6062e-09,374.5,34.305,8.4,2281.6,8.0652
2009-09-01,1.966,2100.0,8.6065e-09,373.8,34.355,8.5,2277.2,8.0652
2009-12-01,2.162,2097.8,8.2353e-09,359.1,34.31,10.0,2293.9,8.0843
2010-01-01,2.19,2087.1,8.5202e-09,373.0,34.212,11.3,2285.0,8.0696
2010-03-01,2.144,2087.8,8.4457e-09,368.2,34.278,12.3,2286.8,8.0734
2010-05-01,2.098,2088.5,8.3712e-09,363.4,34.262,9.7,2278.6,8.0772
2010-07-01,1.95,2104.1,8.6105e-09,374.3,34.329,8.3,2279.6,8.065
2010-09-01,1.896,2115.5,8.6909e-09,378.9,34.266,7.7,2285.2,8.0609
2010-11-01,2.245,2081.1,8.1546e-09,354.2,34.285,10.9,2285.5,8.0886
2011-03-01,2.385,2061.6,8.1724e-09,354.6,34.354,12.7,2279.0,8.0877
2011-07-01,1.975,2106.2,8.6299e-09,376.1,34.388,8.6,2284.1,8.064
2011-09-01,1.931,2113.1,8.6554e-09,377.4,34.37,8.0,2286.5,8.0627
2011-11-01,2.087,2097.3,8.3332e-09,362.2,34.424,9.3,2286.7,8.0792
2012-01-01,2.179,2089.5,8.9979e-09,397.6,34.335,12.4,2285.1,8.0459
2012-03-01,2.197,2087.5,8.5196e-09,372.9,34.341,11.3,2286.3,8.0696
2012-05-01,2.107,2099.3,8.6853e-09,381.1,34.401,10.5,2289.3,8.0612
2012-07-01,1.894,2106.7,8.925e-09,389.4,34.311,8.4,2276.1,8.0494
2012-09-01,1.933,2094.7,8.5716e-09,370.8,34.203,8.2,2268.8,8.0669
2012-11-01,2.104,2079.2,8.666700000000001e-09,377.1,34.263,10.2,2281.2,8.062149999999999
2013-01-01,2.275,2063.7,8.7618e-09,383.4,34.225,13.2,2269.0,8.0574
2013-03-01,2.384,2085.5,8.3444e-09,367.3,34.269,13.0,2301.2,8.0786
2013-05-01,2.093,2108.5,8.434e-09,369.6,34.26,9.6,2297.3,8.074
2013-09-01,1.911,2110.8,8.9296e-09,390.8,34.314,8.6,2281.6,8.0492
2013-11-01,2.046,2094.8,8.6962e-09,379.6,34.368,9.9,2279.3,8.0607
2014-01-01,2.297,2084.8,8.5228e-09,374.8,34.267,12.5,2292.4,8.0694
2014-03-01,2.292,2070.7,8.3593e-09,364.0,34.302,12.2,2278.9,8.0778
2014-06-01,2.073,2109.2,8.6154e-09,378.6,34.257,9.8,2295.6,8.0647
2014-07-01,1.939,2110.3,8.7011e-09,379.7,34.301,8.4,2284.3,8.0604
2014-12-01,2.19,2084.4,8.5115e-09,371.8,34.338,11.2,2282.7,8.07
2015-03-01,2.298,2078.6,8.5015e-09,372.6,34.344,12.5,2286.7,8.0705
2015-04-01,2.188,2084.0,8.3955e-09,365.8,34.307,10.9,2282.4,8.076
2015-08-01,1.923,2122.3,8.6319e-09,377.5,34.32,7.8,2294.6,8.0639
2015-11-01,2.0285,2106.75,8.63285e-09,377.75,34.329,8.8,2286.5,8.06385
2015-12-01,2.134,2091.2,8.6338e-09,378.0,34.319,10.8,2283.9,8.0638
2016-01-01,2.183,2085.0,8.6792e-09,380.4,34.336,11.6,2282.1,8.0615
2016-03-01,2.244,2075.0,8.4375e-09,367.7,34.317,11.8,2278.6,8.0738
2016-06-01,1.99,2103.6,8.5757e-09,373.6,34.263,8.8,2282.8,8.0667
2016-08-01,1.926,2115.8,8.7528e-09,382.8,34.344,8.2,2288.4,8.0579
2016-09-01,1.947,2112.0,8.7836e-09,384.5,34.288,8.7,2286.4,8.0563
2017-02-01,2.208,2082.4,8.7057e-09,382.0,34.29,12.0,2281.6,8.0602
2017-03-01,2.245,2080.8,8.4956e-09,371.6,34.325,11.9,2284.1,8.0708
2017-06-01,2.127,2095.0,8.1403e-09,352.8,34.436,9.2,2288.6,8.0894
2017-07-01,1.954,2111.5,8.9391e-09,392.4,34.37,9.2,2286.3,8.0487
2017-09-01,1.993,2107.1,8.7092e-09,380.6,34.483,9.0,2286.5,8.06
2017-11-01,2.127,2090.3,9.0316e-09,398.0,34.432,11.8,2281.4,8.0442
2018-01-01,2.1079999999999997,2095.75,8.8463e-09,388.9,34.271,17.2,2277.6,8.0533
2018-03-01,2.0984999999999996,2098.475,8.753650000000001e-09,384.35,34.454,13.2,2283.3,8.05785
2018-04-01,2.089,2101.2,8.661e-09,379.8,34.372,10.2,2289.5,8.0624
2018-07-01,1.971,2111.4,8.9172e-09,391.4,34.519,9.2,2288.2,8.0498
2018-09-01,2.009,2108.3,8.9899e-09,395.3,34.639,9.9,2288.7,8.0462
2018-11-01,2.007,2090.9,8.675e-09,377.3,34.226,9.4,2271.6,8.0617
2019-01-01,2.264,2081.0,8.9234e-09,394.3,34.276,13.3,2284.5,8.0495
2019-03-01,2.39,2067.7,8.3815e-09,366.4,34.329,13.3,2284.6,8.0767
2019-05-01,2.068,2097.7,8.7869e-09,385.6,34.252,10.4,2283.5,8.0562
2019-07-01,1.963,2105.0,8.8231e-09,385.8,34.302,9.1,2281.0,8.0544
2019-09-01,1.926,2109.6,9.0062e-09,395.0,34.313,9.0,2281.7,8.0455
2019-11-01,2.01,2113.3,8.9858e-09,396.8,34.328,10.0,2292.9,8.0464
2020-01-01,2.381,2073.8,8.0117e-09,349.6,33.745,12.3,2289.3,8.0963
2020-03-01,2.271,2077.5,8.4244e-09,368.0,34.304,12.0,2283.5,8.0745
2020-06-01,1.992,2110.2,9.0468e-09,398.9,34.362,9.9,2288.3,8.0435
2020-07-01,1.979,2107.3,8.968e-09,394.5,34.154,9.7,2284.1,8.0473
2020-10-01,1.995,2104.8,8.947399999999999e-09,393.15,34.65,10.2,2285.2,8.048300000000001
2020-11-01,2.011,2102.3,8.9268e-09,391.8,34.398,10.0,2282.8,8.0493
